TableName,ColumnName,ColumnOrdinal,DataType,ColumnType,Description,Standard Property,Needs validation
SecurityDetection,CommandLine,15,System.String,string,,No,
SecurityDetection,Computer,3,System.String,string,,No,
SecurityDetection,Description,8,System.String,string,,No,
SecurityDetection,DetectionID,11,System.String,string,,No,
SecurityDetection,Duration,17,System.String,string,,No,
SecurityDetection,ExtendedProperties,27,System.String,string,,No,
SecurityDetection,FailedAttempts,21,System.Int32,int,,No,
SecurityDetection,FullPath,24,System.String,string,,No,
SecurityDetection,InvalidAccountsSeen,18,System.Int32,int,,No,
SecurityDetection,IsFirstParty,30,System.SByte,bool,,No,
SecurityDetection,LogChannel,16,System.String,string,,No,
SecurityDetection,OccuringDatacenter,32,System.String,string,,No,
SecurityDetection,OriginalSeverity,10,System.String,string,,No,
SecurityDetection,ParentProcess,26,System.String,string,,No,
SecurityDetection,ProcessName,14,System.String,string,,No,
SecurityDetection,Provider,4,System.String,string,,No,
SecurityDetection,RemediationSteps,9,System.String,string,,No,
SecurityDetection,ReportingSystem,31,System.String,string,,No,
SecurityDetection,ServiceId,29,System.String,string,,No,
SecurityDetection,SubjectDomainName,13,System.String,string,,No,
SecurityDetection,SubjectUserName,12,System.String,string,,No,
SecurityDetection,SubscriptionId,28,System.String,string,,No,
SecurityDetection,SuccessfulLogins,20,System.Int32,int,,No,
SecurityDetection,SuspiciousProcess,23,System.String,string,,No,
SecurityDetection,TenantId,0,System.String,string,ID of the worksapce that stores this record,No,
