"CreatedAt","Assignee","Url","Title","Service","Content"
"5/22/2020 6:15:15 PM","mrbullwinkle","https://github.com/MicrosoftDocs/azure-docs/issues/55490","Document about dimension with high cardinality","azure-monitor","[articles/azure-monitor/app/get-metric.md](https://github.com/MicrosoftDocs/azure-docs/blob/master/articles/azure-monitor/app/get-metric.md)"
"5/14/2020 11:12:02 PM","BharathNimmala-MSFT","https://github.com/MicrosoftDocs/azure-docs/issues/54898","Docker logs are not readable warnings in omsagent.log","azure-monitor","[articles/azure-monitor/insights/containers.md](https://github.com/Microsoft/azure-docs/blob/master/articles/azure-monitor/insights/containers.md)"
"5/6/2020 9:02:39 PM","mrbullwinkle","https://github.com/MicrosoftDocs/azure-docs/issues/54254","Snipped based setup discrepencies","azure-monitor","[articles/azure-monitor/app/javascript.md](https://github.com/Microsoft/azure-docs/blob/master/articles/azure-monitor/app/javascript.md)"
"5/4/2020 3:41:05 AM","BhargaviAnnadevara-MSFT","https://github.com/MicrosoftDocs/azure-docs/issues/53954","Utc answer is crappy","azure-monitor","[articles/azure-monitor/log-query/datetime-operations.md](https://github.com/Microsoft/azure-docs/blob/master/articles/azure-monitor/log-query/datetime-operations.md)"
"4/29/2020 6:15:40 AM","xiao-lix","https://github.com/MicrosoftDocs/azure-docs/issues/53564","Is screen resolution actually collected?","azure-monitor","[articles/azure-monitor/app/javascript.md](https://github.com/Microsoft/azure-docs/blob/master/articles/azure-monitor/app/javascript.md)"
"4/28/2020 4:10:57 AM","rboucher","https://github.com/MicrosoftDocs/azure-docs/issues/53453","IoRead(Write, Other)OperationsPerSecond unit","azure-monitor","[articles/azure-monitor/platform/metrics-supported.md](https://github.com/Microsoft/azure-docs/blob/master/articles/azure-monitor/platform/metrics-supported.md)"
"4/21/2020 2:42:01 AM","mrbullwinkle","https://github.com/MicrosoftDocs/azure-docs/issues/52890","Image resolutions - poor","azure-monitor","[articles/azure-monitor/app/usage-flows.md](https://github.com/Microsoft/azure-docs/blob/master/articles/azure-monitor/app/usage-flows.md)"
"4/20/2020 5:50:38 PM","gardnerjr","https://github.com/MicrosoftDocs/azure-docs/issues/52844","Update a workbook programatically fails in ""A workbook with the same name already exists""","azure-monitor","[articles/azure-monitor/platform/workbooks-automate.md](https://github.com/Microsoft/azure-docs/blob/master/articles/azure-monitor/platform/workbooks-automate.md)"
"4/11/2020 6:55:03 PM","rboucher","https://github.com/MicrosoftDocs/azure-docs/issues/52210","Need more information on getting to the search result 'rows' (from Log Analytics)  so we can use the data.","azure-monitor","[articles/azure-monitor/platform/alerts-common-schema-integrations.md](https://github.com/Microsoft/azure-docs/blob/master/articles/azure-monitor/platform/alerts-common-schema-integrations.md)"
"9/5/2019 3:21:36 PM","nkiest","https://github.com/MicrosoftDocs/azure-docs/issues/38371","Stream diagnostic logs from resource in Region1 to EventHub namespace in Region2","azure-monitor","[articles/azure-monitor/platform/diagnostic-logs-stream-event-hubs.md](https://github.com/Microsoft/azure-docs/blob/master/articles/azure-monitor/platform/diagnostic-logs-stream-event-hubs.md)"
